suburb_id,SUBURB_NAME
1,Alexandria
2,Beaconsfield
3,Camperdown
4,Centennial Park
5,Chippendale
6,DarlingHurst
7,Darlinghurst
8,Darlington
9,Dawes Point
10,Earlwood
11,Elizabeth Bay
12,Erskineville
13,Eveleigh
14,Forest Lodge
15,Glebe
16,Haymarket
17,Macquarie Park
18,Millers Point
19,Newtown
20,Paddington
21,Parramatta
22,Potts Point
23,Pyrmont
24,Randwick
25,Redfern
26,Rosebery
27,Rozelle
28,Rushcutters Bay
29,Surry Hills
30,SurryHills
31,Sydney
32,The Rocks
33,Ultimo
34,Waterloo
35,Woolloomooloo
36,Zetland
